type,time,latitude,longitude,altitude (m),speed (km/h),course,slope (%),distance (km),distance_interval (m),color,opacity,width,name,desc,activity
T,2022-03-12 21:18:08,-33.602286070,-70.524868870,770.5,41.1,1.5,-0.5,0.863,11.41,,,,,,
T,2022-03-12 21:18:09,-33.602277680,-70.524753770,770.4,38.6,1.6,-0.4,0.874,10.72,,,,,,
T,2022-03-12 21:18:10,-33.602282200,-70.524641880,770.4,37.4,1.6,-0.2,0.884,10.40,,,,,,
T,2022-03-12 21:18:11,-33.602290500,-70.524531750,770.4,36.9,1.8,-0.2,0.894,10.26,,,,,,
T,2022-03-12 21:18:13,-33.602327000,-70.524329830,770.3,34.5,1.9,-0.4,0.914,19.17,,,,,,
T,2022-03-12 21:18:14,-33.602361650,-70.524228130,770.2,36.7,2.1,-0.8,0.924,10.19,,,,,,
T,2022-03-12 21:18:15,-33.602412830,-70.524133830,770.1,37.6,2.2,-0.5,0.934,10.43,,,,,,
T,2022-03-12 21:18:16,-33.602479180,-70.524046680,770.2,39.4,2.3,0.2,0.945,10.94,,,,,,
T,2022-03-12 21:18:17,-33.602554250,-70.523963670,770.9,40.8,2.4,6.2,0.956,11.34,,,,,,
T,2022-03-12 21:18:18,-33.602647400,-70.523884420,772.0,45.7,2.4,8.7,0.969,12.68,,,,,,
T,2022-03-12 21:18:19,-33.602740130,-70.523812320,773.0,44.2,2.5,8.1,0.981,12.27,,,,,,
T,2022-03-12 21:18:20,-33.602836050,-70.523743680,773.9,44.6,2.6,7.6,0.994,12.40,,,,,,
T,2022-03-12 21:18:21,-33.602945850,-70.523674520,774.9,49.6,2.6,7.1,1.008,13.77,,,,,,
T,2022-03-12 21:18:22,-33.603055930,-70.523602250,775.8,50.2,2.6,6.2,1.021,13.93,,,,,,
T,2022-03-12 21:18:23,-33.603164950,-70.523529150,776.5,49.9,2.6,5.3,1.035,13.87,,,,,,
T,2022-03-12 21:18:24,-33.603266070,-70.523444520,777.0,49.3,2.5,3.7,1.049,13.69,,,,,,
T,2022-03-12 21:18:25,-33.603364680,-70.523378470,777.1,45.1,2.5,0.6,1.062,12.54,,,,,,
T,2022-03-12 21:18:26,-33.603463350,-70.523299530,776.2,47.4,2.5,-6.3,1.075,13.17,,,,,,
T,2022-03-12 21:18:27,-33.603543350,-70.523210030,775.5,43.8,2.5,-6.3,1.087,12.15,,,,,,
T,2022-03-12 21:18:28,-33.603606470,-70.523108270,774.7,42.3,2.5,-6.6,1.099,11.76,,,,,,
T,2022-03-12 21:18:29,-33.603677080,-70.522996320,773.8,46.8,2.2,-6.9,1.112,13.01,,,,,,
T,2022-03-12 21:18:30,-33.603730830,-70.522862780,772.9,49.5,2.0,-6.9,1.125,13.75,,,,,,
T,2022-03-12 21:18:31,-33.603769080,-70.522728330,772.0,47.4,2.0,-6.7,1.139,13.18,,,,,,
T,2022-03-12 21:18:32,-33.603791800,-70.522581230,771.1,50.0,1.8,-6.3,1.152,13.88,,,,,,
T,2022-03-12 21:18:33,-33.603798970,-70.522430630,770.7,50.4,1.6,-3.2,1.166,14.00,,,,,,
T,2022-03-12 21:18:34,-33.603791800,-70.522283170,770.7,49.4,1.5,0.5,1.180,13.71,,,,,,
T,2022-03-12 21:18:35,-33.603770430,-70.522141150,770.9,48.2,1.4,1.1,1.194,13.39,,,,,,
T,2022-03-12 21:18:36,-33.603736080,-70.522005830,771.1,47.2,1.2,1.6,1.207,13.12,,,,,,
T,2022-03-12 21:18:37,-33.603695800,-70.521869370,771.3,48.3,1.1,1.6,1.220,13.43,,,,,,
T,2022-03-12 21:18:38,-33.603639920,-70.521742580,771.6,47.9,1.1,2.0,1.233,13.30,,,,,,
T,2022-03-12 21:18:39,-33.603555900,-70.521630470,772.2,50.3,0.9,4.5,1.247,13.97,,,,,,
T,2022-03-12 21:18:40,-33.603460700,-70.521521530,773.5,52.6,0.7,8.9,1.262,14.62,,,,,,
T,2022-03-12 21:18:41,-33.603351550,-70.521425020,774.9,54.2,0.7,9.5,1.277,15.06,,,,,,
T,2022-03-12 21:18:42,-33.603237420,-70.521325720,775.7,56.4,0.7,4.9,1.293,15.66,,,,,,
T,2022-03-12 21:18:43,-33.603129630,-70.521223920,776.2,54.9,0.7,3.4,1.308,15.24,,,,,,
T,2022-03-12 21:18:44,-33.603046820,-70.521130050,776.6,45.6,0.7,3.3,1.321,12.66,,,,,,
T,2022-03-12 21:18:45,-33.602963020,-70.521029450,777.0,47.4,0.8,2.8,1.334,13.17,,,,,,
T,2022-03-12 21:18:46,-33.602873180,-70.520929300,777.2,49.1,0.8,1.8,1.347,13.63,,,,,,
T,2022-03-12 21:18:47,-33.602772730,-70.520819380,777.4,54.4,0.7,0.9,1.363,15.11,,,,,,
T,2022-03-12 21:18:48,-33.602679930,-70.520705870,777.5,53.0,0.7,0.7,1.377,14.73,,,,,,
T,2022-03-12 21:18:49,-33.602584780,-70.520591520,777.6,53.9,0.7,0.6,1.392,14.97,,,,,,
T,2022-03-12 21:18:50,-33.602484200,-70.520490520,777.7,52.5,0.7,0.7,1.407,14.57,,,,,,
T,2022-03-12 21:18:51,-33.602401570,-70.520400570,778.2,44.6,0.8,4.2,1.419,12.40,,,,,,
T,2022-03-12 21:18:52,-33.602298920,-70.520274720,778.8,58.7,0.9,4.0,1.436,16.31,,,,,,
T,2022-03-12 21:18:53,-33.602210480,-70.520152730,779.4,53.9,0.9,3.7,1.451,14.98,,,,,,
T,2022-03-12 21:18:54,-33.602115300,-70.520020550,779.9,58.3,1.0,3.3,1.467,16.18,,,,,,
T,2022-03-12 21:18:55,-33.602033100,-70.519886430,780.2,55.5,1.0,1.7,1.482,15.43,,,,,,
T,2022-03-12 21:18:56,-33.601967350,-70.519757300,780.3,50.5,1.0,1.0,1.496,14.03,,,,,,
T,2022-03-12 21:18:57,-33.601888200,-70.519631650,780.4,52.5,1.0,0.3,1.511,14.60,,,,,,
T,2022-03-12 21:18:59,-33.601836800,-70.519506030,780.4,23.4,1.0,0.1,1.524,12.98,,,,,,
T,2022-03-12 21:19:00,-33.601759100,-70.519403780,780.2,46.1,0.9,-1.0,1.537,12.82,,,,,,
T,2022-03-12 21:19:02,-33.601656980,-70.519294470,780.0,27.4,0.6,-1.3,1.552,15.21,,,,,,
T,2022-03-12 21:19:04,-33.601543400,-70.519249770,780.4,23.9,0.2,3.1,1.565,13.26,,,,,,
T,2022-03-12 21:19:06,-33.601406980,-70.519285100,780.9,27.9,6.0,3.2,1.581,15.48,,,,,,
T,2022-03-12 21:19:08,-33.601257580,-70.519410050,781.5,36.4,5.5,2.7,1.601,20.23,,,,,,
T,2022-03-12 21:19:09,-33.601185170,-70.519498550,781.7,41.4,5.2,2.3,1.612,11.49,,,,,,
T,2022-03-12 21:19:10,-33.601145270,-70.519597430,781.9,36.7,5.1,1.4,1.622,10.19,,,,,,
T,2022-03-12 21:19:11,-33.601130380,-70.519706550,781.9,36.9,4.9,0.5,1.633,10.26,,,,,,
T,2022-03-12 21:19:12,-33.601129130,-70.519829030,781.9,40.9,4.7,0.0,1.644,11.37,,,,,,
T,2022-03-12 21:19:13,-33.601139180,-70.519951670,781.9,41.2,4.6,-0.3,1.655,11.44,,,,,,
T,2022-03-12 21:19:15,-33.601167400,-70.520100220,781.6,25.4,4.6,-2.4,1.670,14.14,,,,,,
