Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
29	01/26 14:33:39	#2401 000:00:12:46	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
30	01/26 14:33:40	#2401 000:00:12:47	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
31	01/26 14:33:41	#2401 000:00:12:48	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
32	01/26 14:33:42	#2401 000:00:12:49	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
33	01/26 14:33:43	#2401 000:00:12:50	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
34	01/26 14:33:44	#2401 000:00:12:51	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
35	01/26 14:33:45	#2401 000:00:12:52	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
36	01/26 14:33:46	#2401 000:00:12:53	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
37	01/26 14:33:47	#2401 000:00:12:54	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.84	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
38	01/26 14:33:48	#2401 000:00:12:55	0.0	0.2	0.2	106.9	78	49	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.81	27	3.81	3.82	3.84	22	3.84	26	27	26	28	0	0.0		0.0	0.0		0.0	0	3.81	28	0.0		7	3.81	3.81	3.84	3.84	3.81	3.84	3.86	3.84	3.84	3.81	3.81	3.81	3.81	3.84	3.84	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.84	3.81	3.81	3.81	3.81	3.81	
