Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),0x0081_Unit_in_pre-operational  ,,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
481.2515,0,,481.2317,-0.4375,,481.2512,0.0,,481.2318,0.0,,481.2515,0,,481.2516,0.0,,,,,481.2512,108.875,,481.2512,31,,481.2515,0.0,,481.2516,0.0,,,,,481.2317,1.296875,,481.2317,0.0,,481.2516,0.0,,,,,481.2516,-0.5625,,
481.2715,0,,481.2517,0.5625,,481.2712,0.0,,481.2518,0.0,,481.2715,0,,481.2716,0.0,,,,,481.2712,108.875,,481.2712,31,,481.2715,0.0,,481.2716,0.0,,,,,481.2517,1.2890625,,481.2517,0.0,,481.2716,0.0,,,,,481.2716,-0.5625,,
481.2915,0,,481.2717,-0.4375,,481.2912,0.0,,481.2718,0.0,,481.2915,0,,481.2915,0.0,,,,,481.2912,108.9375,,481.2912,31,,481.2915,0.0,,481.2915,0.0,,,,,481.2717,1.2734375,,481.2717,0.0,,481.2915,0.0,,,,,481.2915,-1.4375,,
481.3114,0,,481.2917,-0.9375,,481.3112,0.0,,481.2917,0.0,,481.3114,0,,481.3115,0.0,,,,,481.3112,108.9375,,481.3112,31,,481.3114,0.0,,481.3115,0.0,,,,,481.2917,1.2734375,,481.2917,0.0,,481.3115,0.0,,,,,481.3115,0.0625,,
481.3314,0,,481.3117,-0.4375,,481.3312,0.0,,481.3117,0.0,,481.3314,0,,481.3315,0.0,,,,,481.3312,108.875,,481.3312,31,,481.3314,0.0,,481.3315,0.0,,,,,481.3117,1.2890625,,481.3117,0.0,,481.3315,0.0,,,,,481.3315,0.0625,,
481.3514,0,,481.3317,-0.4375,,481.3512,0.0,,481.3317,0.0,,481.3514,0,,481.3515,0.0,,,,,481.3512,108.875,,481.3512,31,,481.3514,0.0,,481.3515,0.0,,,,,481.3317,1.32421875,,481.3317,0.0,,481.3515,0.0,,,,,481.3515,0.9375,,
481.3715,0,,481.3517,1.125,,481.3714,0.0,,481.3517,0.0,,481.3715,0,,481.3716,0.0,,,,,481.3714,108.9375,,481.3714,31,,481.3715,0.0,,481.3716,0.0,,,,,481.3517,1.32421875,,481.3517,0.0,,481.3716,0.0,,,,,481.3716,0.0625,,
481.3914,0,,481.3717,-0.4375,,481.3912,0.0,,481.3718,0.0,,481.3914,0,,481.3915,0.0,,,,,481.3912,108.9375,,481.3912,31,,481.3914,0.0,,481.3915,0.0,,,,,481.3717,1.33203125,,481.3717,0.0,,481.3915,0.0,,,,,481.3915,-0.8125,,
481.4114,0,,481.3916,-0.9375,,481.4112,0.0,,481.3917,0.0,,481.4114,0,,481.4115,0.0,,,,,481.4112,108.9375,,481.4112,31,,481.4114,0.0,,481.4115,0.0,,,,,481.3916,1.31640625,,481.3916,0.0,,481.4115,0.0,,,,,481.4115,-1.375,,
481.4315,0,,481.4116,-0.875,,481.4314,0.0,,481.4117,0.0,,481.4315,0,,481.4316,0.0,,,,,481.4314,108.9375,,481.4314,31,,481.4315,0.0,,481.4316,0.0,,,,,481.4116,1.31640625,,481.4116,0.0,,481.4316,0.0,,,,,481.4316,1.5625,,
481.4514,0,,481.4317,1.25,,481.4512,0.0,,481.4318,0.0,,481.4514,0,,481.4515,0.0,,,,,481.4512,108.9375,,481.4512,31,,481.4514,0.0,,481.4515,0.0,,,,,481.4317,1.32421875,,481.4317,0.0,,481.4515,0.0,,,,,481.4515,-0.5,,
481.4715,0,,481.4516,-0.3125,,481.4714,0.0,,481.4517,0.0,,481.4715,0,,481.4716,0.0,,,,,481.4714,108.9375,,481.4714,31,,481.4715,0.0,,481.4716,0.0,,,,,481.4516,1.31640625,,481.4516,0.0,,481.4716,0.0,,,,,481.4716,0.375,,
481.4914,0,,481.4717,0.1875,,481.4911,0.0,,481.4718,0.0,,481.4914,0,,481.4915,0.0,,,,,481.4911,109.0,,481.4911,31,,481.4914,0.0,,481.4915,0.0,,,,,481.4717,1.32421875,,481.4717,0.0,,481.4915,0.0,,,,,481.4915,0.0625,,
481.5114,0,,481.4916,-0.3125,,481.5111,0.0,,481.4917,0.0,,481.5114,0,,481.5115,0.0,,,,,481.5111,108.875,,481.5111,31,,481.5114,0.0,,481.5115,0.0,,,,,481.4916,1.32421875,,481.4916,0.0,,481.5115,0.0,,,,,481.5115,-1.625,,
481.5315,0,,481.5116,-0.3125,,481.5314,0.0,,481.5117,0.0,,481.5315,0,,481.5316,0.0,,,,,481.5314,108.9375,,481.5314,31,,481.5315,0.0,,481.5316,0.0,,,,,481.5116,1.32421875,,481.5116,0.0,,481.5316,0.0,,,,,481.5316,1.0,,
481.5515,0,,481.5317,0.25,,481.5513,0.0,,481.5318,0.0,,481.5515,0,,481.5516,0.0,,,,,481.5513,108.875,,481.5513,31,,481.5515,0.0,,481.5516,0.0,,,,,481.5317,1.3671875,,481.5317,0.0,,481.5516,0.0,,,,,481.5516,-1.375,,
481.5715,0,,481.5517,-0.875,,481.5713,0.0,,481.5518,0.0,,481.5715,0,,481.5716,0.0,,,,,481.5713,108.9375,,481.5713,31,,481.5715,0.0,,481.5716,0.0,,,,,481.5517,1.33203125,,481.5517,0.0,,481.5716,0.0,,,,,481.5716,1.5625,,
481.5915,0,,481.5717,1.25,,481.5913,0.0,,481.5718,0.0,,481.5915,0,,481.5916,0.0,,,,,481.5913,108.9375,,481.5913,31,,481.5915,0.0,,481.5916,0.0,,,,,481.5717,1.32421875,,481.5717,0.0,,481.5916,0.0,,,,,481.5916,-0.4375,,
481.6115,0,,481.5917,0.1875,,481.6113,0.0,,481.5918,0.0,,481.6115,0,,481.6116,0.0,,,,,481.6113,108.9375,,481.6113,31,,481.6115,0.0,,481.6116,0.0,,,,,481.5917,1.37890625,,481.5917,0.0,,481.6116,0.0,,,,,481.6116,1.0,,
481.6315,0,,481.6118,0.25,,481.6313,0.0,,481.6118,0.0,,481.6315,0,,481.6316,0.0,,,,,481.6313,108.9375,,481.6313,31,,481.6315,0.0,,481.6316,0.0,,,,,481.6118,1.3515625,,481.6118,0.0,,481.6316,0.0,,,,,481.6316,-1.375,,
481.6515,0,,481.6317,-0.875,,481.6513,0.0,,481.6318,0.0,,481.6515,0,,481.6516,0.0,,,,,481.6513,108.9375,,481.6513,31,,481.6515,0.0,,481.6516,0.0,,,,,481.6317,1.32421875,,481.6317,0.0,,481.6516,0.0,,,,,481.6516,-0.5,,
