latitude;longitude;altitude (m);distance (km)
-33.6022;-70.5245;770.3;3.999
-33.6023;-70.5244;770.3;4.01
-33.6023;-70.5243;770.3;4.022
-33.6024;-70.5242;770.2;4.034
-33.6024;-70.5241;770.2;4.045
-33.6025;-70.524;770.6;4.059
-33.6026;-70.5239;771.7;4.072
-33.6027;-70.5238;772.9;4.086
-33.6028;-70.5238;773.9;4.099
-33.6029;-70.5237;774.8;4.111
-33.603;-70.5236;775.6;4.123
-33.6031;-70.5236;776.3;4.134
-33.6032;-70.5235;776.9;4.146
-33.6033;-70.5234;777.3;4.159
-33.6034;-70.5234;776.9;4.171
-33.6035;-70.5233;776.1;4.183
-33.6035;-70.5232;775.4;4.195
-33.6036;-70.5231;774.6;4.206
-33.6037;-70.523;773.8;4.218
-33.6037;-70.5229;773.0;4.229
-33.6038;-70.5228;772.3;4.241
-33.6038;-70.5226;771.5;4.253
-33.6038;-70.5225;770.7;4.265
-33.6038;-70.5224;770.8;4.278
-33.6038;-70.5222;770.9;4.291
-33.6037;-70.5221;771.1;4.304
-33.6037;-70.522;771.2;4.317
-33.6037;-70.5218;771.5;4.329
-33.6036;-70.5217;771.8;4.342
-33.6035;-70.5216;772.4;4.354
-33.6034;-70.5215;773.4;4.366
-33.6034;-70.5215;774.6;4.378
-33.6033;-70.5214;775.2;4.39
-33.6032;-70.5213;775.7;4.402
-33.6031;-70.5212;776.1;4.414
-33.603;-70.5211;776.4;4.426
-33.6029;-70.5211;776.7;4.438
-33.6028;-70.521;776.8;4.45
-33.6027;-70.5209;776.9;4.464
-33.6027;-70.5208;776.9;4.476
-33.6026;-70.5207;776.9;4.489
-33.6025;-70.5206;777.0;4.502
-33.6024;-70.5205;777.6;4.515
-33.6023;-70.5204;778.1;4.528
-33.6022;-70.5204;778.6;4.54
-33.6022;-70.5203;779.0;4.552
-33.6021;-70.5202;779.4;4.565
-33.602;-70.52;779.8;4.578
-33.602;-70.5199;780.1;4.589
-33.6019;-70.5198;780.2;4.601
-33.6019;-70.5197;780.2;4.611
-33.6018;-70.5196;780.3;4.623
-33.6018;-70.5195;780.2;4.633
-33.6017;-70.5194;780.1;4.643
-33.6016;-70.5193;780.3;4.662
-33.6014;-70.5193;780.9;4.681
-33.6013;-70.5194;781.5;4.699
-33.6012;-70.5195;781.8;4.717
-33.6011;-70.5197;781.9;4.738
-33.6011;-70.5198;781.9;4.749
-33.6011;-70.52;781.9;4.76
-33.6011;-70.5201;781.7;4.771
-33.6012;-70.5202;781.3;4.782
-33.6012;-70.5203;781.0;4.793
-33.6012;-70.5204;780.7;4.805
-33.6012;-70.5206;780.4;4.817
-33.6012;-70.5207;780.0;4.83
-33.6012;-70.5208;779.7;4.842
-33.6012;-70.521;779.3;4.855
-33.6012;-70.5211;778.8;4.867
-33.6012;-70.5213;778.3;4.881
-33.6012;-70.5216;777.3;4.91
-33.6012;-70.5217;776.9;4.924
-33.6012;-70.522;776.6;4.95
-33.6012;-70.5221;776.5;4.963
-33.6012;-70.5223;776.3;4.976
-33.6012;-70.5226;776.1;5.002
-33.6013;-70.5228;776.5;5.027
-33.6013;-70.523;776.8;5.04
-33.6013;-70.5231;776.9;5.054
-33.6013;-70.5233;777.1;5.067
-33.6013;-70.5234;777.0;5.08
-33.6013;-70.5235;776.8;5.093
-33.6013;-70.5237;776.4;5.105
-33.6013;-70.5238;776.1;5.117
-33.6013;-70.5239;775.9;5.13
-33.6013;-70.5241;775.6;5.142
-33.6013;-70.5242;775.3;5.153
-33.6013;-70.5243;775.3;5.165
-33.6013;-70.5245;775.2;5.178
-33.6013;-70.5246;775.2;5.189
-33.6013;-70.5247;775.2;5.201
-33.6013;-70.5248;775.2;5.214
-33.6013;-70.525;775.3;5.225
-33.6013;-70.5251;775.1;5.237
-33.6013;-70.5252;774.7;5.25
-33.6013;-70.5254;774.5;5.261
-33.6013;-70.5255;774.3;5.273
-33.6013;-70.5256;774.1;5.284
-33.6013;-70.5257;773.8;5.296
-33.6013;-70.5258;773.6;5.307
-33.6013;-70.526;773.7;5.318
-33.6013;-70.5261;773.7;5.329
-33.6014;-70.5262;773.7;5.34
-33.6014;-70.5263;773.5;5.351
-33.6014;-70.5264;773.4;5.361
-33.6015;-70.5265;773.0;5.372
-33.6016;-70.5266;772.6;5.383
-33.6016;-70.5266;772.1;5.393
-33.6017;-70.5267;771.9;5.404
-33.6018;-70.5267;771.8;5.416
-33.6019;-70.5267;771.7;5.427
-33.602;-70.5267;771.6;5.44
-33.6021;-70.5267;771.4;5.452
-33.6022;-70.5266;771.4;5.465
-33.6023;-70.5265;771.6;5.477
-33.6024;-70.5264;771.9;5.489
-33.6024;-70.5263;772.3;5.5
-33.6024;-70.5261;772.7;5.511
-33.6024;-70.526;773.0;5.521
-33.6024;-70.5259;773.3;5.533
-33.6024;-70.5258;773.2;5.545
-33.6024;-70.5257;772.7;5.556
-33.6023;-70.5256;772.3;5.567
-33.6023;-70.5254;771.8;5.578
-33.6023;-70.5253;771.4;5.588
-33.6023;-70.5252;771.1;5.599
-33.6023;-70.525;770.5;5.618
-33.6023;-70.5248;770.4;5.638
-33.6023;-70.5246;770.4;5.658
-33.6023;-70.5245;770.3;5.668
-33.6024;-70.5243;770.2;5.688
-33.6025;-70.5241;770.1;5.708
-33.6025;-70.524;770.4;5.719
-33.6026;-70.5239;771.3;5.73
-33.6027;-70.5238;772.1;5.74
-33.6027;-70.5238;772.9;5.751
-33.6029;-70.5237;774.4;5.771
-33.6031;-70.5236;775.7;5.791
-33.6031;-70.5235;776.3;5.802
-33.6032;-70.5235;776.8;5.813
-33.6033;-70.5234;777.2;5.824
-33.6034;-70.5233;776.7;5.835
-33.6035;-70.5233;776.1;5.846
-33.6035;-70.5232;775.4;5.857
-33.6036;-70.5231;774.6;5.868
-33.6036;-70.523;773.9;5.878
-33.6037;-70.5229;773.2;5.889
-33.6037;-70.5228;772.5;5.9
-33.6037;-70.5227;771.8;5.91
-33.6038;-70.5225;771.2;5.922
-33.6038;-70.5224;770.9;5.933
-33.6038;-70.5223;770.9;5.944
-33.6037;-70.5222;771.0;5.955
-33.6037;-70.5221;771.1;5.967
-33.6037;-70.5219;771.3;5.979
-33.6036;-70.5218;771.6;5.99
-33.6036;-70.5217;771.9;6.001
-33.6035;-70.5216;772.3;6.013
-33.6034;-70.5216;773.3;6.024
-33.6033;-70.5215;774.3;6.035
-33.6033;-70.5214;774.8;6.046
-33.6032;-70.5214;775.2;6.056
-33.6031;-70.5213;775.6;6.066
-33.603;-70.5212;775.9;6.077
-33.603;-70.5212;776.3;6.088
-33.6029;-70.5211;776.5;6.1
-33.6028;-70.521;776.7;6.113
-33.6027;-70.5209;776.7;6.125
-33.6026;-70.5208;776.8;6.137
-33.6026;-70.5207;776.8;6.148
-33.6025;-70.5206;777.0;6.16
-33.6024;-70.5205;777.5;6.171
-33.6024;-70.5205;778.0;6.182
-33.6023;-70.5204;778.4;6.193
-33.6022;-70.5203;778.8;6.203
-33.6022;-70.5202;779.2;6.214
-33.6021;-70.5201;779.6;6.225
-33.602;-70.52;779.9;6.236
-33.602;-70.5199;780.1;6.246
-33.6019;-70.5198;780.2;6.257
-33.6019;-70.5196;780.3;6.277
-33.6018;-70.5195;780.3;6.288
-33.6018;-70.5194;780.2;6.298
-33.6016;-70.5193;780.2;6.317
-33.6014;-70.5193;780.9;6.338
-33.6013;-70.5194;781.2;6.348
-33.6013;-70.5194;781.4;6.359
-33.6012;-70.5195;781.7;6.369
-33.6011;-70.5197;782.0;6.39
-33.6011;-70.5198;782.0;6.4
-33.6011;-70.5199;782.0;6.41
-33.6011;-70.52;781.9;6.421
-33.6011;-70.5202;781.6;6.433
-33.6012;-70.5203;781.2;6.445
-33.6012;-70.5204;780.7;6.457
-33.6012;-70.5205;780.5;6.468
-33.6012;-70.5206;780.2;6.48
-33.6012;-70.5208;779.9;6.492
-33.6012;-70.5209;779.5;6.505
-33.6012;-70.5211;779.0;6.518
-33.6012;-70.5212;778.6;6.53
-33.6012;-70.5213;778.1;6.543
-33.6012;-70.5215;777.6;6.556
-33.6012;-70.5216;777.2;6.57
-33.6012;-70.5218;776.9;6.583
-33.6012;-70.5219;776.8;6.596
-33.6012;-70.522;776.6;6.608
-33.6012;-70.5222;776.5;6.621
-33.6012;-70.5223;776.3;6.634
-33.6012;-70.5224;776.1;6.647
-33.6012;-70.5226;776.2;6.66
-33.6012;-70.5227;776.5;6.673
-33.6012;-70.5229;776.7;6.686
-33.6012;-70.523;777.0;6.699
-33.6012;-70.5231;777.2;6.712
-33.6012;-70.5233;777.4;6.724
-33.6013;-70.5234;777.3;6.737
-33.6013;-70.5235;777.0;6.749
-33.6013;-70.5237;776.7;6.762
-33.6013;-70.5238;776.4;6.775
-33.6013;-70.5239;776.1;6.787
-33.6013;-70.5241;775.8;6.799
-33.6013;-70.5242;775.5;6.812
-33.6013;-70.5244;775.5;6.825
-33.6013;-70.5245;775.4;6.839
-33.6013;-70.5246;775.3;6.851
-33.6013;-70.5248;775.2;6.863
-33.6013;-70.5249;775.2;6.875
-33.6013;-70.525;775.2;6.887
-33.6013;-70.5251;775.0;6.898
-33.6013;-70.5253;774.7;6.91
-33.6013;-70.5254;774.4;6.922
-33.6013;-70.5255;774.1;6.934
-33.6013;-70.5257;773.8;6.946
-33.6013;-70.5258;773.5;6.958
-33.6013;-70.5259;773.5;6.97
-33.6013;-70.526;773.6;6.981
-33.6014;-70.5262;773.5;6.993
-33.6014;-70.5263;773.3;7.005
-33.6015;-70.5264;773.1;7.016
-33.6015;-70.5265;772.8;7.027
-33.6016;-70.5266;772.4;7.038
-33.6017;-70.5267;771.9;7.05
-33.6018;-70.5267;771.9;7.061
-33.6019;-70.5267;771.8;7.072
-33.602;-70.5267;771.7;7.083
-33.6021;-70.5267;771.6;7.094
-33.6022;-70.5267;771.4;7.106
-33.6022;-70.5266;771.4;7.117
-33.6023;-70.5265;771.5;7.128
-33.6024;-70.5264;771.8;7.14
-33.6024;-70.5263;772.2;7.152
-33.6024;-70.5261;772.5;7.164
-33.6024;-70.526;772.9;7.176
-33.6024;-70.5259;773.1;7.188
-33.6023;-70.5258;772.9;7.2
-33.6023;-70.5257;772.4;7.211
-33.6023;-70.5255;772.0;7.222
-33.6023;-70.5254;771.6;7.233
-33.6023;-70.5253;771.3;7.244
-33.6023;-70.5252;770.9;7.255
-33.6023;-70.5251;770.6;7.266
-33.6023;-70.5249;770.4;7.277
-33.6023;-70.5248;770.4;7.289
-33.6023;-70.5247;770.4;7.302
-33.6023;-70.5246;770.4;7.314
-33.6023;-70.5244;770.3;7.326
-33.6023;-70.5243;770.3;7.338
-33.6024;-70.5242;770.2;7.35
-33.6025;-70.5241;770.2;7.363
-33.6025;-70.524;770.6;7.375
-33.6026;-70.5239;771.6;7.388
-33.6027;-70.5238;772.6;7.4
-33.6028;-70.5237;773.5;7.413
-33.6029;-70.5237;774.4;7.425
-33.603;-70.5236;775.2;7.437
-33.6031;-70.5236;776.0;7.449
-33.6032;-70.5235;776.6;7.461
-33.6033;-70.5234;777.1;7.475
-33.6034;-70.5234;776.8;7.488
-33.6035;-70.5233;776.0;7.501
-33.6036;-70.5232;775.2;7.514
-33.6036;-70.5231;774.3;7.527
-33.6037;-70.5229;773.4;7.54
-33.6038;-70.5228;772.4;7.553
-33.6038;-70.5227;771.6;7.566
-33.6038;-70.5225;770.8;7.579
-33.6038;-70.5224;770.5;7.591
-33.6038;-70.5223;770.7;7.606
-33.6038;-70.5221;770.9;7.622
-33.6037;-70.5219;771.2;7.637
-33.6037;-70.5218;771.5;7.651
-33.6036;-70.5217;771.8;7.665
-33.6035;-70.5216;772.8;7.678
-33.6034;-70.5215;774.1;7.692
-33.6033;-70.5214;775.0;7.706
-33.6032;-70.5213;775.5;7.72
-33.6031;-70.5212;776.0;7.733
-33.603;-70.5212;776.4;7.745
-33.6029;-70.5211;776.6;7.758
-33.6028;-70.521;776.8;7.771
-33.6027;-70.5209;776.9;7.783
-33.6027;-70.5208;776.9;7.796
-33.6026;-70.5207;777.0;7.808
-33.6025;-70.5206;777.0;7.821
-33.6024;-70.5205;777.6;7.834
-33.6023;-70.5204;778.2;7.846
-33.6023;-70.5203;778.7;7.859
-33.6022;-70.5202;779.1;7.871
-33.6021;-70.5201;779.5;7.884
-33.602;-70.52;779.9;7.896
-33.602;-70.5199;780.1;7.908
-33.6019;-70.5198;780.2;7.92
-33.6019;-70.5197;780.3;7.93
-33.6018;-70.5195;780.3;7.949
-33.6017;-70.5194;780.1;7.966
-33.6015;-70.5193;780.5;7.985
-33.6014;-70.5193;780.8;7.996
-33.6013;-70.5194;781.3;8.015
-33.6012;-70.5196;781.6;8.033
-33.6012;-70.5198;781.8;8.053
-33.6012;-70.52;781.8;8.075
-33.6012;-70.5202;781.4;8.087
-33.6012;-70.5203;781.1;8.099
-33.6012;-70.5204;780.8;8.11
-33.6012;-70.5205;780.5;8.121
-33.6012;-70.5207;780.2;8.134
-33.6012;-70.5208;779.8;8.146
-33.6012;-70.5209;779.4;8.16
-33.6012;-70.5211;778.9;8.173
-33.6012;-70.5212;778.4;8.187
-33.6012;-70.5214;777.9;8.202
-33.6012;-70.5216;777.3;8.218
-33.6012;-70.5218;776.9;8.235
-33.6012;-70.5219;776.7;8.251
-33.6012;-70.5221;776.5;8.267
-33.6012;-70.5223;776.3;8.284
-33.6012;-70.5225;776.1;8.301
-33.6012;-70.5226;776.3;8.317
-33.6012;-70.5228;776.7;8.335
-33.6012;-70.523;777.0;8.354
-33.6012;-70.5232;777.3;8.373
-33.6013;-70.5234;777.3;8.389
-33.6013;-70.5236;776.9;8.406
-33.6013;-70.5238;776.4;8.424
-33.6013;-70.524;776.1;8.441
-33.6013;-70.5241;775.6;8.458
-33.6013;-70.5243;775.4;8.476
-33.6013;-70.5245;775.4;8.492
-33.6013;-70.5247;775.4;8.508
-33.6013;-70.5248;775.4;8.522
-33.6013;-70.525;775.2;8.54
-33.6013;-70.5252;774.7;8.553
-33.6013;-70.5253;774.4;8.568
-33.6013;-70.5255;774.1;8.582
-33.6013;-70.5256;773.7;8.597
-33.6013;-70.5258;773.3;8.611
-33.6014;-70.5259;773.3;8.625
-33.6014;-70.5261;773.3;8.639
-33.6014;-70.5262;773.2;8.651
-33.6014;-70.5263;773.1;8.663
-33.6015;-70.5265;772.8;8.676
-33.6016;-70.5266;772.3;8.688
-33.6017;-70.5266;771.9;8.701
-33.6018;-70.5267;771.9;8.713
-33.6019;-70.5267;771.8;8.725
-33.602;-70.5267;771.6;8.737
-33.6021;-70.5267;771.5;8.748
-33.6022;-70.5266;771.4;8.76
-33.6023;-70.5265;771.5;8.772
-33.6023;-70.5264;771.8;8.787
-33.6024;-70.5262;772.2;8.8
-33.6024;-70.5261;772.7;8.813
-33.6024;-70.5259;773.2;8.828
-33.6024;-70.5258;773.3;8.842
-33.6024;-70.5256;772.7;8.856
-33.6023;-70.5255;772.1;8.87
-33.6023;-70.5254;771.6;8.883
-33.6023;-70.5252;771.2;8.894
-33.6023;-70.5251;770.8;8.907
-33.6023;-70.525;770.4;8.92
-33.6023;-70.5248;770.4;8.932
-33.6023;-70.5247;770.4;8.945
-33.6023;-70.5246;770.4;8.958
-33.6023;-70.5244;770.3;8.971
-33.6023;-70.5243;770.3;8.984
-33.6024;-70.5242;770.1;8.997
-33.6025;-70.5241;770.2;9.01
-33.6025;-70.524;770.7;9.023
-33.6026;-70.5239;771.9;9.036
-33.6027;-70.5238;772.9;9.049
-33.6028;-70.5237;773.9;9.063
-33.6029;-70.5237;774.8;9.075
-33.603;-70.5236;775.6;9.088
-33.6031;-70.5236;776.4;9.1
-33.6032;-70.5235;776.9;9.112
-33.6033;-70.5234;777.3;9.124
-33.6034;-70.5233;776.6;9.137
-33.6035;-70.5232;775.8;9.149
