Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
25	03/05 12:38:54	#498 000:00:51:47	0.0	2.7	2.7	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	1	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
26	03/05 12:38:55	#498 000:00:51:48	0.0	3.0	3.0	114.9	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	19	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
27	03/05 12:38:56	#498 000:00:51:49	0.0	3.1	3.1	114.9	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	19	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
28	03/05 12:38:57	#498 000:00:51:50	0.0	2.7	2.7	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
29	03/05 12:38:58	#498 000:00:51:51	0.0	2.7	2.7	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
30	03/05 12:38:59	#498 000:00:51:52	0.0	3.1	3.1	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
31	03/05 12:39:00	#498 000:00:51:53	0.0	2.5	2.5	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	18	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
32	03/05 12:39:01	#498 000:00:51:54	0.0	2.9	2.9	114.9	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	19	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
33	03/05 12:39:02	#498 000:00:51:55	0.0	2.7	2.7	114.9	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.08	19	4.09	4.10	4.11	27	4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.08	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
34	03/05 12:39:03	#498 000:00:51:56	0.0	2.5	2.5	115.0	100	0	0	4.55	1	LoadPwr WireContReq HLIM Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	81	Cell voltage too high	100		HiVtg 		0		0		4.11		4.09	4.11	4.11		4.11	23	25	24	26	22	0.0	27	0.3	3.3	19	9.9	0	4.11	25	0.0		7	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	4.11	
