Point	Real time	Power-up time	Asrc	Alod	Apack	Vpack	SOC	DOD	Loads	BalVtg	BalCause	IoState	Flags	Bnk0	Bnk1t	Bnk2	Bnk3	Bnk4	Bnk5	Bnk6	Bnk7	Bnk8	Bnk9	Bnk10	Bnk11	Bnk12	Bnk13	Bnk14	Bnk15	CCL	CCLcause	DCL	DCLcause	WarnFlags	FltFlags	MissBanks	MissBank#	MissCells	-	Vmin	VminNo	VminAvg	Vavg	Vmax	VmaxNo	VmaxAvg	Tmin	TminNo	Tavg	Tmax	TmaxNo	Rmin	RminNo	Ravg	Rmax	RmaxNo	Rpack	Nmonit	Vmonit	Tmonit	TmonitOff	Rmonit	Smonit	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27
1020	01/26 14:50:10	#2401 000:00:29:16	0.0	28.0	28.0	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.78	3.78	3.75	
1021	01/26 14:50:11	#2401 000:00:29:17	0.0	28.0	28.0	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	27	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.75	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.78	3.78	3.78	
1022	01/26 14:50:12	#2401 000:00:29:18	0.0	28.0	28.0	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	19	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1023	01/26 14:50:13	#2401 000:00:29:19	0.0	27.9	27.9	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	19	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.75	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1024	01/26 14:50:14	#2401 000:00:29:20	0.0	27.9	27.9	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.75	3.78	3.75	
1025	01/26 14:50:15	#2401 000:00:29:21	0.0	27.9	27.9	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1026	01/26 14:50:16	#2401 000:00:29:22	0.0	27.9	27.9	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.75	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.75	3.81	3.75	3.78	3.78	
1027	01/26 14:50:17	#2401 000:00:29:23	0.0	27.9	27.9	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1028	01/26 14:50:18	#2401 000:00:29:24	0.0	27.9	27.9	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1029	01/26 14:50:19	#2401 000:00:29:25	0.0	27.9	27.9	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.75	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1030	01/26 14:50:20	#2401 000:00:29:26	0.0	28.0	28.0	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.75	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1031	01/26 14:50:21	#2401 000:00:29:27	0.0	28.1	28.1	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1032	01/26 14:50:22	#2401 000:00:29:28	0.0	28.1	28.1	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.78	3.81	3.81	3.81	3.81	3.78	3.81	3.78	3.75	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1033	01/26 14:50:23	#2401 000:00:29:29	0.0	28.3	28.3	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.78	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1034	01/26 14:50:24	#2401 000:00:29:30	0.0	28.5	28.5	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.78	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.75	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1035	01/26 14:50:25	#2401 000:00:29:31	0.0	28.4	28.4	106.2	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.79	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.78	3.81	3.81	3.81	3.81	3.78	3.81	3.78	3.78	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1036	01/26 14:50:26	#2401 000:00:29:32	0.0	28.5	28.5	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.78	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.81	3.78	3.75	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
1037	01/26 14:50:27	#2401 000:00:29:33	0.0	28.5	28.5	106.1	76	55	0	4.55	4	LoadPwr WireContReq Fan 	K2 K3 	06	07	08	07	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	FF	100		100				0		0		3.75	25	3.75	3.78	3.81	24	3.81	26	25	27	29	21	0.0	27	0.6	2.0	19	19.0	0	3.81	29	0.0		7	3.81	3.75	3.81	3.81	3.81	3.81	3.81	3.81	3.81	3.78	3.81	3.78	3.75	3.81	3.81	3.78	3.78	3.81	3.75	3.75	3.75	3.81	3.81	3.78	3.81	3.75	3.78	3.78	
