Time (s),2. Iq A (0.0625),,Time (s),1. Current A(RMS) (1),,Time (s),1. Target Id A (0.0625),,Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),1. Id A (0.0625),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Id A (0.0625),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),2. Target Iq A (0.0625),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),2. Current A(RMS) (1),,Time (s),2. Target Id A (0.0625),,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Uq V (0.0625),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),2. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),2. Throttle Input Voltage V (0.00390625),,Time (s),2. statusword  (1),,Time (s),1. Ud V (0.0625),,Time (s),1. controlword - right motor  (1),,Time (s),1. Target Iq A (0.0625),,Time (s),2. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
929.6911,0.3125,,929.6892,0,,929.6895,0.0,,929.709,0.0,,929.6895,-0.75,,929.709,80,,929.6911,2.0,,929.6908,115.125,,929.709,0.0,,929.6909,0.0,,929.6892,0,,929.6893,0.0,,929.6907,0,,929.6907,0.0,,929.6907,1079,,929.709,80,,929.6911,0.0,,929.709,527,,929.6907,0.0,,929.709,0.0,,929.6909,0,,929.6911,0.0,,929.709,115.25,,929.709,28,,929.6908,28,,929.6893,0.0,,929.6892,0.0,,929.6911,0.0,,929.6908,0.0,,929.6907,0,,929.6911,0.0,,929.6895,1.34375,,929.6911,0.0,,929.6907,1079,,929.6895,0.0,,929.709,527,,929.6893,0.0,,929.6911,0.0,,929.6893,-0.8125,,
929.711,0.0,,929.7092,0,,929.7094,0.0,,929.7289,0.0,,929.7094,-1.25,,929.7289,100,,929.7111,1.5,,929.7108,115.125,,929.7291,0.0,,929.7109,0.0,,929.7092,0,,929.7093,0.0,,929.7107,0,,929.7107,0.0,,929.7107,1079,,929.7289,100,,929.711,0.0,,929.7289,527,,929.7107,0.0,,929.7289,0.0,,929.7109,0,,929.7111,0.0,,929.7291,115.25,,929.7291,28,,929.7108,28,,929.7093,0.0,,929.7092,0.0,,929.711,0.0,,929.7108,0.0,,929.7107,0,,929.711,0.0,,929.7094,1.34375,,929.7111,0.0,,929.7107,1079,,929.7094,0.0,,929.7289,527,,929.7093,0.0,,929.7111,0.0,,929.7093,-2.25,,
929.7311,0.25,,929.7292,0,,929.7295,0.0,,929.7487,0.0,,929.7295,0.8125,,929.7487,120,,929.7312,0.9375,,929.7308,115.0625,,929.7489,0.0,,929.7309,0.0,,929.7292,0,,929.7293,0.0,,929.7307,0,,929.7307,0.0,,929.7307,1079,,929.7487,120,,929.7311,0.0,,929.7487,527,,929.7307,0.0,,929.7487,0.0,,929.7309,0,,929.7312,0.0,,929.7489,115.1875,,929.7489,28,,929.7308,28,,929.7293,0.0,,929.7292,0.0,,929.7311,0.0,,929.7308,0.0,,929.7307,0,,929.7311,0.0,,929.7295,1.30859375,,929.7312,0.0,,929.7307,1079,,929.7295,0.0,,929.7487,527,,929.7293,0.0,,929.7312,0.0,,929.7293,-1.375,,
929.7511,-0.3125,,929.749,0,,929.7493,0.0,,929.7689,0.0,,929.7493,-1.25,,929.7689,140,,929.7512,0.9375,,929.7508,115.125,,929.7691,0.0,,929.751,0.0,,929.749,0,,929.7492,0.0,,929.7507,0,,929.7507,0.0,,929.7507,1079,,929.7689,140,,929.7511,0.0,,929.7689,527,,929.7507,0.0,,929.7689,0.0,,929.751,0,,929.7512,0.0,,929.7691,115.1875,,929.7691,28,,929.7508,28,,929.7492,0.0,,929.749,0.0,,929.7511,0.0,,929.7508,0.0,,929.7507,0,,929.7511,0.0,,929.7493,1.28125,,929.7512,0.0,,929.7507,1079,,929.7493,0.0,,929.7689,527,,929.7492,0.0,,929.7512,0.0,,929.7492,-1.0625,,
929.7711,0.0,,929.7692,0,,929.7694,0.0,,929.7887,0.0,,929.7694,-0.1875,,929.7887,160,,929.7712,1.5,,929.7708,115.1875,,929.7889,0.0,,929.7709,0.0,,929.7692,0,,929.7693,0.0,,929.7707,0,,929.7707,0.0,,929.7707,1079,,929.7887,160,,929.7711,0.0,,929.7887,527,,929.7707,0.0,,929.7887,0.0,,929.7709,0,,929.7712,0.0,,929.7889,115.25,,929.7889,28,,929.7708,28,,929.7693,0.0,,929.7692,0.0,,929.7711,0.0,,929.7708,0.0,,929.7707,0,,929.7711,0.0,,929.7694,1.2890625,,929.7712,0.0,,929.7707,1079,,929.7694,0.0,,929.7887,527,,929.7693,0.0,,929.7712,0.0,,929.7693,-0.5,,
929.7911,-0.3125,,929.789,0,,929.7892,0.0,,929.8089,0.0,,929.7892,-0.75,,929.8089,180,,929.7911,-1.0625,,929.7908,115.1875,,929.809,0.0,,929.791,0.0,,929.789,0,,929.7892,0.0,,929.7907,0,,929.7907,0.0,,929.7907,1079,,929.8089,180,,929.7911,0.0,,929.8089,527,,929.7907,0.0,,929.8089,0.0,,929.791,0,,929.7911,0.0,,929.809,115.1875,,929.809,28,,929.7908,28,,929.7892,0.0,,929.789,0.0,,929.7911,0.0,,929.7908,0.0,,929.7907,0,,929.7911,0.0,,929.7892,1.2890625,,929.7911,0.0,,929.7907,1079,,929.7892,0.0,,929.8089,527,,929.7892,0.0,,929.7911,0.0,,929.7892,-1.375,,
929.8111,0.25,,929.8091,0,,929.8094,0.0,,929.8289,0.0,,929.8094,-0.75,,929.8289,200,,929.8112,-0.0625,,929.8109,115.125,,929.829,0.0,,929.811,0.0,,929.8091,0,,929.8093,0.0,,929.8107,0,,929.8107,0.0,,929.8107,1079,,929.8289,200,,929.8111,0.0,,929.8289,527,,929.8107,0.0,,929.8289,0.0,,929.811,0,,929.8112,0.0,,929.829,115.25,,929.829,28,,929.8109,28,,929.8093,0.0,,929.8091,0.0,,929.8111,0.0,,929.8109,0.0,,929.8107,0,,929.8111,0.0,,929.8094,1.32421875,,929.8112,0.0,,929.8107,1079,,929.8094,0.0,,929.8289,527,,929.8093,0.0,,929.8112,0.0,,929.8093,-2.5,,
929.8311,0.0,,929.8292,0,,929.8294,0.0,,929.8489,0.0,,929.8294,-1.25,,929.8489,220,,929.8312,0.4375,,929.8308,115.125,,929.8491,0.0,,929.831,0.0,,929.8292,0,,929.8293,0.0,,929.8307,0,,929.8307,0.0,,929.8307,1079,,929.8489,220,,929.8311,0.0,,929.8489,527,,929.8307,0.0,,929.8489,0.0,,929.831,0,,929.8312,0.0,,929.8491,115.25,,929.8491,28,,929.8308,28,,929.8293,0.0,,929.8292,0.0,,929.8311,0.0,,929.8308,0.0,,929.8307,0,,929.8311,0.0,,929.8294,1.31640625,,929.8312,0.0,,929.8307,1079,,929.8294,0.0,,929.8489,527,,929.8293,0.0,,929.8312,0.0,,929.8293,-1.0625,,
929.8511,0.3125,,929.8493,0,,929.8495,0.0,,929.8687,0.0,,929.8495,-0.75,,929.8687,240,,929.8512,-1.0625,,929.8509,115.125,,929.8689,0.0,,929.851,0.0,,929.8493,0,,929.8493,0.0,,929.8507,0,,929.8507,0.0,,929.8507,1079,,929.8687,240,,929.8511,0.0,,929.8687,527,,929.8507,0.0,,929.8687,0.0,,929.851,0,,929.8512,0.0,,929.8689,115.25,,929.8689,28,,929.8509,28,,929.8493,0.0,,929.8493,0.0,,929.8511,0.0,,929.8509,0.0,,929.8507,0,,929.8511,0.0,,929.8495,1.32421875,,929.8512,0.0,,929.8507,1079,,929.8495,0.0,,929.8687,527,,929.8493,0.0,,929.8512,0.0,,929.8493,-1.375,,
929.8711,-0.3125,,929.869,0,,929.8692,0.0,,929.8887,0.0,,929.8692,-1.25,,929.8887,260,,929.8713,-1.0625,,929.8709,115.1875,,929.8887,0.0,,929.871,0.0,,929.869,0,,929.8691,0.0,,929.8707,0,,929.8707,0.0,,929.8707,1079,,929.8887,260,,929.8711,0.0,,929.8887,527,,929.8707,0.0,,929.8887,0.0,,929.871,0,,929.8713,0.0,,929.8887,115.3125,,929.8887,28,,929.8709,28,,929.8691,0.0,,929.869,0.0,,929.8711,0.0,,929.8709,0.0,,929.8707,0,,929.8711,0.0,,929.8692,1.31640625,,929.8713,0.0,,929.8707,1079,,929.8692,0.0,,929.8887,527,,929.8691,0.0,,929.8713,0.0,,929.8691,-2.25,,
