Time (s),2. RPDO Target torque % of peak (0.1),,Time (s),2. RPDO Maximum motor speed RPM (1),,Time (s),2. Battery Voltage V (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),2. Torque demand value Nm (0.0625),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Velocity RPM (1),,Time (s),2. Velocity RPM (1),,Time (s),2. Torque % of peak (0.1),,Time (s),1. Max velocity - right motor RPM (1),,Time (s),1. RPDO statusword - right motor  (1),,Time (s),2. RPDO controlword  (1),,Time (s),1. RPDO Actual torque - right motor  (0.001),,Time (s),1. Target torque - right motor  (0.001),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),2. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),2. Battery Current A (0.0625),,Time (s),1. RPDO Velocity actual value - right motor RPM (1),,Time (s),2. Torque actual value Nm (0.0625),,Time (s),2. statusword  (1),,Time (s),1. controlword - right motor  (1),,Time (s),1. Iq A (0.0625),,
222.4359,0.0,,222.4359,800,,222.4183,106.0625,,222.4361,-0.0625,,222.4182,0.0,,222.436,0.0,,222.436,38,,222.438,0,,222.438,0.0,,222.4359,800,,222.438,1079,,222.4359,1039,,222.438,0.0,,222.4359,0.0,,222.4361,27,,222.4183,27,,222.436,0.0,,222.4361,1.6875,,222.4183,0.0,,222.438,0,,222.4182,0.0,,222.438,1079,,222.4359,1039,,222.4361,-0.3125,,
222.4559,0.0,,222.4559,800,,222.4383,106.0625,,222.4562,-0.0625,,222.4382,0.0,,222.4561,0.0,,222.4561,38,,222.4581,0,,222.4581,0.0,,222.4559,800,,222.4581,1079,,222.4559,1039,,222.4581,0.0,,222.4559,0.0,,222.4562,27,,222.4383,27,,222.4561,0.0,,222.4562,1.375,,222.4383,0.0,,222.4581,0,,222.4382,0.0,,222.4581,1079,,222.4559,1039,,222.4562,0.1875,,
222.4759,0.0,,222.4759,800,,222.4583,106.0,,222.4761,-0.0625,,222.4582,0.0,,222.476,0.0,,222.476,38,,222.478,0,,222.478,0.0,,222.4759,800,,222.478,1079,,222.4759,1039,,222.478,0.0,,222.4759,0.0,,222.4761,27,,222.4583,27,,222.476,0.0,,222.4761,0.625,,222.4583,0.0,,222.478,0,,222.4582,0.0,,222.478,1079,,222.4759,1039,,222.4761,0.9375,,
222.4959,0.0,,222.4959,800,,222.4782,106.0625,,222.4961,-0.0625,,222.4781,0.0,,222.496,0.0,,222.496,37,,222.498,0,,222.498,0.0,,222.4959,800,,222.498,1079,,222.4959,1039,,222.498,0.0,,222.4959,0.0,,222.4961,27,,222.4782,27,,222.496,0.0,,222.4961,0.9375,,222.4782,0.0,,222.498,0,,222.4781,0.0,,222.498,1079,,222.4959,1039,,222.4961,-0.0625,,
222.5159,0.0,,222.5159,800,,222.4982,106.0,,222.5161,-0.0625,,222.4981,0.0,,222.516,0.0,,222.516,37,,222.518,0,,222.518,0.0,,222.5159,800,,222.518,1079,,222.5159,1039,,222.518,0.0,,222.5159,0.0,,222.5161,27,,222.4982,27,,222.516,0.0,,222.5161,0.75,,222.4982,0.0,,222.518,0,,222.4981,0.0,,222.518,1079,,222.5159,1039,,222.5161,0.5,,
222.5359,0.0,,222.5359,800,,222.5182,106.0625,,222.5362,-0.0625,,222.5181,0.0,,222.5361,0.0,,222.5361,36,,222.538,0,,222.538,0.0,,222.5359,800,,222.538,1079,,222.5359,1039,,222.538,0.0,,222.5359,0.0,,222.5362,27,,222.5182,27,,222.5361,0.0,,222.5362,2.375,,222.5182,0.0,,222.538,0,,222.5181,0.0,,222.538,1079,,222.5359,1039,,222.5362,-1.5625,,
222.5559,0.0,,222.5559,800,,222.5382,106.125,,222.5562,-0.0625,,222.5381,0.0,,222.5561,0.0,,222.5561,36,,222.558,0,,222.558,0.0,,222.5559,800,,222.558,1079,,222.5559,1039,,222.558,0.0,,222.5559,0.0,,222.5562,27,,222.5382,27,,222.5561,0.0,,222.5562,1.4375,,222.5382,0.0,,222.558,0,,222.5381,0.0,,222.558,1079,,222.5559,1039,,222.5562,-0.125,,
222.5759,0.0,,222.5759,800,,222.5582,106.125,,222.5762,-0.0625,,222.5581,0.0,,222.5761,0.0,,222.5761,35,,222.578,0,,222.578,0.0,,222.5759,800,,222.578,1079,,222.5759,1039,,222.578,0.0,,222.5759,0.0,,222.5762,27,,222.5582,27,,222.5761,0.0,,222.5762,2.0,,222.5582,0.0,,222.578,0,,222.5581,0.0,,222.578,1079,,222.5759,1039,,222.5762,-1.3125,,
222.5959,0.0,,222.5959,800,,222.5782,106.0625,,222.5961,-0.0625,,222.5781,0.0,,222.596,0.0,,222.596,34,,222.598,0,,222.598,0.0,,222.5959,800,,222.598,1079,,222.5959,1039,,222.598,0.0,,222.5959,0.0,,222.5961,27,,222.5782,27,,222.596,0.0,,222.5961,0.75,,222.5782,0.0,,222.598,0,,222.5781,0.0,,222.598,1079,,222.5959,1039,,222.5961,0.6875,,
222.6158,0.0,,222.6158,800,,222.5982,106.0625,,222.6161,-0.0625,,222.5981,0.0,,222.616,0.0,,222.616,34,,222.618,0,,222.618,0.0,,222.6158,800,,222.618,1079,,222.6158,1039,,222.618,0.0,,222.6158,0.0,,222.6161,27,,222.5982,27,,222.616,0.0,,222.6161,0.8125,,222.5982,0.0,,222.618,0,,222.5981,0.0,,222.618,1079,,222.6158,1039,,222.6161,0.1875,,
222.6358,0.0,,222.6358,800,,222.6182,106.0625,,222.6361,-0.0625,,222.6181,0.0,,222.636,0.0,,222.636,33,,222.638,0,,222.638,0.0,,222.6358,800,,222.638,1079,,222.6358,1039,,222.638,0.0,,222.6358,0.0,,222.6361,27,,222.6182,27,,222.636,0.0,,222.6361,2.0,,222.6182,0.0,,222.638,0,,222.6181,0.0,,222.638,1079,,222.6358,1039,,222.6361,-1.5,,
222.6558,0.0,,222.6558,800,,222.6382,106.0625,,222.6561,-0.0625,,222.6381,0.0,,222.656,0.0,,222.656,33,,222.658,0,,222.658,0.0,,222.6558,800,,222.658,1079,,222.6558,1039,,222.658,0.0,,222.6558,0.0,,222.6561,27,,222.6382,27,,222.656,0.0,,222.6561,1.4375,,222.6382,0.0,,222.658,0,,222.6381,0.0,,222.658,1079,,222.6558,1039,,222.6561,-0.5625,,
222.6759,0.0,,222.6759,800,,222.6582,106.0625,,222.6761,-0.0625,,222.6581,0.0,,222.676,0.0,,222.676,33,,222.678,0,,222.678,0.0,,222.6759,800,,222.678,1079,,222.6759,1039,,222.678,0.0,,222.6759,0.0,,222.6761,27,,222.6582,27,,222.676,0.0,,222.6761,1.625,,222.6582,0.0,,222.678,0,,222.6581,0.0,,222.678,1079,,222.6759,1039,,222.6761,-0.625,,
222.6959,0.0,,222.6959,800,,222.6782,106.0625,,222.6961,-0.0625,,222.6781,0.0,,222.696,0.0,,222.696,32,,222.6979,0,,222.6979,0.0,,222.6959,800,,222.6979,1079,,222.6959,1039,,222.6979,0.0,,222.6959,0.0,,222.6961,27,,222.6782,27,,222.696,0.0,,222.6961,1.25,,222.6782,0.0,,222.6979,0,,222.6781,0.0,,222.6979,1079,,222.6959,1039,,222.6961,-0.125,,
222.716,0.0,,222.716,800,,222.6982,106.125,,222.7162,-0.0625,,222.6981,0.0,,222.7161,0.0,,222.7161,31,,222.718,0,,222.718,0.0,,222.716,800,,222.718,1079,,222.716,1039,,222.718,0.0,,222.716,0.0,,222.7162,27,,222.6982,27,,222.7161,0.0,,222.7162,1.625,,222.6982,0.0,,222.718,0,,222.6981,0.0,,222.718,1079,,222.716,1039,,222.7162,-1.0,,
